Gemcom Software International                                       Mar 08,2017,,,,,,,
,,,,,,,,
Block model report,,,,,,,,
gcbm_kuning_c_02_-30_-45_f_id,,,,,,,,
gcwf_kuning_c_02_-30_-45_id,,,,,,,,
,,,,,,,,
Constraints used,,,,,,,,
  a.  INSIDE 3DM CK5_-35E_-32P5_01.dtm,,,,,,,,
,,,,,,,,
  Keep blocks partially in the constraint : False,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Volume ,Tonnes ,Au ,Ag ,Aueq75 ,Dbdensity ,Partial Pct ,,
167.969,433.643,0.92,64.12,1.77,2.58,0.95,,411.96085
,,,,,,,,
,,,,,,,,
                                                                             1/1,,,,,,,,
